,Date,Nikkei,Nikkei_Returns,Nikkei_20-day_Vol,Nikkei_50-day_Vol,Nikkei_100-day_Vol,Nikkei_21-day_MA,Nikkei_55-day_MA,Nikkei_100-day_MA
15322,2010-11-08,9732.92,0.011047221923734207,20.144541602606786,21.278503121129205,21.929243536406656,9435.179523809536,9339.625636363638,9441.005699999972
15323,2010-11-09,9694.49,-0.00395627107532875,19.852209573895816,20.90408748575436,21.93746833121561,9435.640476190489,9347.879272727276,9439.071699999973
15324,2010-11-10,9830.52,0.013934149172174016,18.669309822725,21.052175872794802,21.860291031576324,9447.147142857155,9356.385454545458,9436.705399999972
15325,2010-11-11,9861.46,0.003142398627277046,18.66885419660439,20.98501958829434,21.8407686697435,9469.662380952394,9368.786909090912,9435.325999999972
15326,2010-11-12,9724.81,-0.013953878636537815,18.427776581232997,20.96588474193296,21.950518593364897,9484.962380952393,9379.84363636364,9432.623899999971
15327,2010-11-15,9827.51,0.01050524382755555,18.38053318201411,19.28597756120224,21.666703442061984,9496.58142857144,9394.97763636364,9428.518899999972
15328,2010-11-16,9797.1,-0.003099172349446448,18.450204482448992,19.198943222316764,21.58735764170055,9510.717142857155,9412.281454545457,9425.360999999972
15329,2010-11-17,9811.66,0.0014850508319604635,18.42261237815531,18.956381862261555,21.384333713237027,9525.630000000014,9428.739272727276,9424.240599999972
15330,2010-11-18,10013.63,0.020375690604070015,18.32050463487017,19.4091065892017,21.633104945922884,9548.210000000012,9447.331454545458,9425.093499999974
15331,2010-11-19,10022.39,0.0008744252160031887,18.287576192086252,18.937258198603878,21.40839700128852,9578.723809523823,9463.206545454548,9427.942599999973
15332,2010-11-22,10115.19,0.009216664258740574,18.39513173806257,18.882650351329854,21.440156331645465,9613.900476190489,9486.681636363637,9432.155099999973
15333,2010-11-24,10030.11,-0.008446685415064057,18.761911486912187,18.244522621092084,21.383342316326463,9642.633809523822,9506.73781818182,9436.749499999973
15334,2010-11-25,10079.76,0.004937883823551821,18.640659804975193,18.204314708960858,21.146919789548704,9674.948095238107,9525.227272727274,9443.720699999973
15335,2010-11-26,10039.56,-0.003996164233904274,18.819622713066863,17.99295183943005,20.887922654741452,9706.480476190489,9542.053272727273,9452.200299999973
15336,2010-11-29,10125.99,0.00857209738838768,18.78002694367759,17.986161785788944,20.923064011977026,9741.66904761906,9557.047272727274,9461.423099999975
15337,2010-11-30,9937.04,-0.01883619638955411,18.964796002298307,18.53941912219392,21.13360687936212,9768.860000000011,9569.975272727275,9468.125699999973
15338,2010-12-01,9988.05,0.005120188811314132,18.65924457814579,17.868090238299665,21.11623904166148,9806.269523809535,9587.492545454548,9474.625799999974
15339,2010-12-02,10168.52,0.017907295001288646,19.20504284889582,18.266760644848997,21.26306680119486,9854.545714285725,9606.949454545458,9483.514499999974
15340,2010-12-03,10178.32,0.000963294620473163,18.243335514120055,18.096791868259395,20.831140201827292,9903.038095238106,9624.024909090911,9489.940299999973
15341,2010-12-06,10167.23,-0.0010901647877137207,15.893100051457946,18.084901666846786,20.82077314155238,9941.535714285725,9639.396000000002,9495.759399999974
15342,2010-12-07,10141.1,-0.0025733297045555464,15.683424028658303,18.07052055623533,20.81450509657074,9966.064761904774,9654.701272727274,9501.689299999975
15343,2010-12-08,10232.33,0.008955841973953695,15.69411100639114,17.969764791353434,20.854004353835077,9989.8461904762,9667.715272727271,9508.640299999974
15344,2010-12-09,10285.88,0.005219765426418801,15.156791610922879,17.76982092892142,20.438027760734258,10018.00761904763,9681.831272727271,9513.546699999973
15345,2010-12-10,10211.95,-0.007213477775367863,15.520643033839592,17.646156639483156,20.389065849641085,10036.170952380964,9692.483272727271,9518.810899999973
15346,2010-12-13,10293.89,0.007991912170356575,14.504473146630726,17.668651468603038,19.875251908390087,10056.76285714287,9705.06109090909,9527.666199999972
15347,2010-12-14,10316.77,0.0022202112303638614,14.218566550923983,16.97362226638264,19.77559959229064,10084.951428571441,9718.705636363637,9537.829299999974
15348,2010-12-15,10309.78,-0.0006777672725280253,14.11864525180321,16.97918952726014,19.77003138731515,10107.916666666679,9733.944000000001,9548.138799999975
15349,2010-12-16,10311.29,0.00014645214847726468,14.140542705574543,16.95481280975869,19.735334062984595,10132.401904761917,9746.819454545455,9559.042899999975
15350,2010-12-17,10303.83,-0.0007237406646801668,12.453128538803796,16.71091322963356,19.431246731330766,10155.838571428583,9761.511636363637,9567.771599999975
15351,2010-12-20,10216.41,-0.008520419729255562,12.944748359535943,16.425489867737713,19.45809666254861,10165.494761904774,9773.457636363637,9574.899099999975
15352,2010-12-21,10370.53,0.01497287885415821,13.587588876571113,16.715973306339933,19.588052167260212,10182.07285714287,9791.660909090911,9583.635899999976
