,Date,DEXJPUS,USD/JPY_Returns,USD_21-day_MA,USD_55-day_MA,USD_100-day_MA
11213,2015-09-14,119.92,-0.006132935521299454,121.18523809523701,122.64690909090838,122.3011000000007
11214,2015-09-15,120.3,0.0031687791861241266,120.9961904761894,122.5810909090902,122.30720000000069
11215,2015-09-16,120.62,0.002660016625104067,120.81952380952274,122.54690909090837,122.3236000000007
11216,2015-09-17,120.9,0.0023213397446526507,120.65333333333226,122.52509090909018,122.34140000000069
11217,2015-09-18,119.85,-0.008684863523573338,120.4509523809513,122.46745454545382,122.3519000000007
11218,2015-09-21,120.46,0.005089695452649146,120.30428571428465,122.41872727272654,122.36820000000068
11219,2015-09-22,120.04,-0.003486634567491209,120.20571428571321,122.37345454545381,122.37000000000069
11220,2015-09-23,120.12,0.0006664445184938472,120.27999999999892,122.3363636363629,122.36910000000071
11221,2015-09-24,119.54,-0.0048285048285048315,120.26238095237989,122.31818181818109,122.36200000000072
11222,2015-09-25,120.74,0.010038480843232334,120.34190476190368,122.3094545454538,122.37070000000071
11223,2015-09-28,119.82,-0.0076196786483352374,120.29095238095131,122.25618181818108,122.3747000000007
11224,2015-09-29,119.76,-0.0005007511266899023,120.21666666666559,122.19090909090835,122.37490000000071
11225,2015-09-30,119.81,0.0004175016700067591,120.14761904761797,122.12581818181744,122.37520000000069
11226,2015-10-01,119.58,-0.001919706201485738,120.1304761904751,122.04745454545379,122.3705000000007
11227,2015-10-02,119.42,-0.001338016390700747,120.10285714285605,121.9634545454538,122.3667000000007
11228,2015-10-05,120.36,0.007871378328588197,120.11047619047511,121.89727272727197,122.37940000000071
11229,2015-10-06,120.18,-0.0014955134596210673,120.16428571428462,121.8234545454538,122.38920000000071
11230,2015-10-07,119.9,-0.002329838575470089,120.17285714285606,121.75018181818106,122.39460000000071
11231,2015-10-08,119.94,0.00033361134278564464,120.12523809523702,121.67490909090833,122.3958000000007
11232,2015-10-09,120.3,0.0030015007503751967,120.10571428571322,121.60981818181742,122.3930000000007
11233,2015-10-13,119.8,-0.004156275976724855,120.06476190476084,121.53818181818106,122.37820000000069
11234,2015-10-14,119.21,-0.004924874791318867,120.03095238095132,121.46490909090834,122.35970000000069
11235,2015-10-15,118.26,-0.00796913010653455,119.93380952380846,121.36927272727198,122.32780000000068
11236,2015-10-16,119.6,0.011330965668865156,119.88523809523704,121.29181818181745,122.29300000000069
11237,2015-10-19,119.5,-0.0008361204013377366,119.81857142857037,121.20309090909016,122.25040000000068
11238,2015-10-20,119.79,0.002426778242677896,119.81571428571323,121.12763636363563,122.20650000000069
11239,2015-10-21,119.91,0.0010017530678687603,119.78952380952275,121.05363636363563,122.16580000000069
11240,2015-10-22,120.5,0.004920356934367431,119.81142857142751,120.98999999999927,122.12440000000069
11241,2015-10-23,121.2,0.0058091286307053736,119.86285714285607,120.92381818181744,122.09450000000069
11242,2015-10-26,120.87,-0.002722772277227725,119.9261904761894,120.85599999999926,122.06260000000071
11243,2015-10-27,120.29,-0.004798543890129903,119.90476190476085,120.78363636363561,122.01990000000073
11244,2015-10-28,120.56,0.0022445756089450875,119.93999999999893,120.71109090909016,121.96970000000073
11245,2015-10-29,121.14,0.004810882548108797,120.0057142857132,120.64272727272653,121.93030000000071
11246,2015-10-30,120.7,-0.0036321611358758332,120.04809523809415,120.58509090909017,121.89570000000073
11247,2015-11-02,120.7,0.0,120.10142857142748,120.519272727272,121.87550000000074
11248,2015-11-03,121.2,0.0041425020712511085,120.18619047618937,120.4634545454538,121.85130000000073
11249,2015-11-04,121.52,0.0026402640264024946,120.24142857142745,120.4123636363629,121.83420000000075
11250,2015-11-05,121.71,0.00156352863726128,120.31428571428461,120.36363636363562,121.81750000000075
11251,2015-11-06,123.2,0.012242215101470721,120.47142857142745,120.34727272727197,121.81560000000076
11252,2015-11-09,123.04,-0.0012987012987012436,120.6190476190465,120.33818181818107,121.80350000000077
11253,2015-11-10,123.22,0.0014629388816644884,120.7580952380941,120.3583636363629,121.80700000000076
11254,2015-11-12,122.84,-0.0030839149488719464,120.90285714285599,120.43618181818107,121.80840000000074
11255,2015-11-13,122.93,0.0007326603712145552,121.07999999999885,120.49109090909018,121.80490000000074
11256,2015-11-16,123.11,0.0014642479459854307,121.31095238095122,120.56454545454471,121.79890000000076
11257,2015-11-17,123.48,0.003005442287385307,121.49571428571313,120.61163636363561,121.79130000000076
11258,2015-11-18,123.51,0.00024295432458698585,121.68666666666552,120.6514545454538,121.79010000000076
11259,2015-11-19,122.71,-0.006477208323212746,121.82571428571315,120.67781818181743,121.77800000000076
11260,2015-11-20,122.8,0.0007334365577378321,121.9633333333322,120.72981818181745,121.78100000000074
11261,2015-11-23,123.02,0.0017915309446254746,122.0833333333322,120.78472727272654,121.79020000000075
11262,2015-11-24,122.47,-0.004470817753210787,122.1438095238084,120.82599999999928,121.78470000000074
11263,2015-11-25,122.7,0.0018780109414551216,122.23095238095125,120.8923636363629,121.78030000000075
11264,2015-11-27,122.84,0.0011409942950284524,122.35238095237983,120.94909090909017,121.78340000000075
11265,2015-11-30,123.22,0.003093454900683801,122.4790476190465,120.99054545454473,121.79400000000074
11266,2015-12-01,122.88,-0.002759292322674911,122.56190476190365,121.02999999999928,121.81740000000073
11267,2015-12-02,123.52,0.005208333333333259,122.69619047618937,121.0819999999993,121.84040000000074
11268,2015-12-03,123.06,-0.003724093264248607,122.80857142857033,121.13909090909021,121.84350000000073
11269,2015-12-04,123.1,0.00032504469364535993,122.89904761904651,121.1899999999993,121.84100000000073
11270,2015-12-07,123.31,0.0017059301380992764,122.98428571428461,121.23890909090841,121.84020000000073
11271,2015-12-08,123.0,-0.0025139891330792086,123.04571428571319,121.27709090909023,121.83130000000074
11272,2015-12-09,121.86,-0.009268292682926838,122.98190476190368,121.31363636363567,121.80950000000074
11273,2015-12-10,121.44,-0.003446578040374182,122.9057142857132,121.33145454545384,121.78390000000074
11274,2015-12-11,120.94,-0.0041172595520421185,122.79714285714178,121.34781818181747,121.75090000000074
11275,2015-12-14,120.57,-0.0030593682817926515,122.68904761904655,121.35599999999928,121.71730000000075
